metric,eligible_state_clusters,mean_base_to_donor_ncte,mean_donor_to_base_ncte,mean_symmetric_ncte,symmetric_ci95_low,symmetric_ci95_high,mean_directional_asymmetry,asymmetry_ci95_low,asymmetry_ci95_high,positive_state_fraction,p_two_sided_sign_flip,q_bh_within_metric_family,sign_flip_exact,flow_step,layer,action_position
all,15,-0.024139270727359444,-0.01849466176079242,-0.021316966244075936,-0.02278332548534297,-0.01994050198246943,0.00582377662697214,0.0046140802340334805,0.0070266174135109995,0.0,6.103515625e-05,9.765625e-05,True,8,8,6
all,15,-0.023768863791759,-0.021447737403260572,-0.022608300597509786,-0.02393401260709833,-0.021414200144765257,0.0028543363392120047,0.0019836164078699636,0.003867839595768049,0.0,6.103515625e-05,9.765625e-05,True,8,8,7
all,15,-0.025714879937715034,-0.019251448241003347,-0.022483164089359187,-0.024072187599868948,-0.021116122676817537,0.00658748050443957,0.004577464274623962,0.008635404408114465,0.0,6.103515625e-05,9.765625e-05,True,8,8,8
all,15,-0.02270219721482065,-0.01786297589341516,-0.020282586554117906,-0.02203998351235556,-0.01876506069650699,0.004839221321405491,0.003483660569934805,0.006389197870159697,0.0,6.103515625e-05,9.765625e-05,True,8,8,9
all,15,0.0003310050486659913,0.00101299444435676,0.0006719997465113753,0.00035115047799030375,0.0010118280818707697,0.0009452096671442705,0.0004444602381232864,0.001603286189726221,0.8666666666666667,0.0008544921875,0.001220703125,True,8,14,0
all,15,-0.00027274399093878067,0.0011851278066103608,0.0004561919078357901,-0.00031879391821507076,0.0013113169020409637,0.0018575163569922962,0.0009158029397707139,0.00302522802351144,0.3333333333333333,0.3116455078125,0.361328125,True,8,14,1
all,15,0.0005807424157390777,0.0009290304853188587,0.0007548864505289682,5.1258824500657374e-05,0.0014611957572411892,0.002239908397144721,0.0013266769919170268,0.00319990648029638,0.7333333333333333,0.0693359375,0.08804563492063493,True,8,14,2
all,15,0.0022914020948881847,8.256731831849038e-05,0.0011869847066033376,0.0002290499718242431,0.002069240769667929,0.004681606874401496,0.003447898681168049,0.005950826199099756,0.7333333333333333,0.0322265625,0.04261363636363636,True,8,14,3
all,15,0.0005308101028566921,-0.000220782774146203,0.00015501366435524458,-0.0005710572332108103,0.0007893553860743081,0.002786182634026972,0.0017281875702511327,0.003999517133817681,0.6666666666666666,0.676025390625,0.7308382601351351,True,8,14,4
all,15,0.0006127626927634717,0.0011915794496685048,0.0009021710712159881,0.00022451748592329529,0.0016421356696087045,0.002413949088483505,0.001666804756161643,0.003242758078152156,0.8,0.02099609375,0.027994791666666668,True,8,14,5
all,15,0.0021653196900742536,0.005609033076876018,0.0038871763834751353,0.0032261880122161656,0.00455570235851952,0.0045809894473327764,0.0032070291508582306,0.005944626854222224,1.0,6.103515625e-05,9.765625e-05,True,8,14,6
all,15,0.0030432025734743744,0.006469815635478284,0.0047565091044763285,0.004057308674436655,0.0054820516448298795,0.0061734936168949435,0.004380130379223174,0.008004703755313423,1.0,6.103515625e-05,9.765625e-05,True,8,14,7
all,15,0.0015462109727049462,0.005754858032137887,0.003650534502421416,0.003037996473733399,0.004239678191293261,0.007348608718847846,0.0052803098722033785,0.009454355245589215,1.0,6.103515625e-05,9.765625e-05,True,8,14,8
all,15,-0.001439411135164068,0.0022298438207810907,0.00039521634280851155,-0.00040288358551860906,0.0013187509364658231,0.006435941691776134,0.0042543500140809,0.008696708302324774,0.3333333333333333,0.40399169921875,0.45520191461267606,True,8,14,9
all,15,0.0004940158426910727,0.0005947628773163761,0.0005443893600037245,0.0002776753445011348,0.0008601758327600008,0.00032460007906565276,0.00019274223569949438,0.00048277460141151515,0.8666666666666667,0.0003662109375,0.0005375573394495413,True,8,17,0
all,15,0.0009221976513114807,0.001205525971758817,0.0010638618115351487,0.000654834409490691,0.0014836439348625285,0.0005384452565647618,0.00034241294015658263,0.0007559336528141486,0.8666666666666667,0.000244140625,0.0003616898148148148,True,8,17,1
all,15,0.0018644431337354382,0.0022308014045570534,0.0020476222691462455,0.0016055072960862128,0.002465368123191709,0.0011764866066906105,0.0007900624730272833,0.001610151219495366,1.0,6.103515625e-05,9.765625e-05,True,8,17,2
all,15,0.0032583689421096995,0.0044194294171922685,0.0038388991796509827,0.003441554125624204,0.004214978275788331,0.0018140796641938147,0.0012151205803112737,0.0024254364156066316,1.0,6.103515625e-05,9.765625e-05,True,8,17,3
